departamento,municipio,n_edificios,area_construida_km2
Bogotá D.C.,Bogotá D.C.,904770,114.4539775987004
Valle del Cauca,Santiago de Cali,374320,43.19922378314089
Antioquia,Medellín,366425,37.271124850286974
Tolima,Ibagué,118894,15.219086894092147
Cundinamarca,Madrid,27466,14.449010043325355
Risaralda,Pereira,109731,14.110128471806664
Huila,Neiva,100321,12.210588789493775
Cauca,Popayán,113846,12.187975242180025
Antioquia,Rionegro,56887,11.283034825485455
Valle del Cauca,Palmira,69772,10.945122948220414
Cundinamarca,Soacha,82325,10.744249070746438
Cundinamarca,Facatativá,24007,8.697921161506263
Cundinamarca,Funza,20086,8.352162164981506
Caldas,Manizales,62210,8.278012748643057
Cundinamarca,Chía,46747,7.609576814760378
Antioquia,Bello,76214,7.452158934453989
Valle del Cauca,Buenaventura,88811,7.151903023615068
Quindío,Armenia,59540,7.08205620428684
Valle del Cauca,Yumbo,40881,6.755403347712737
Cundinamarca,El Rosal,9799,6.64142047938453
Valle del Cauca,Tuluá,56431,6.599451936529119
Cundinamarca,Fusagasugá,47037,6.558736109610925
Valle del Cauca,Jamundí,52164,6.024432126281229
Cundinamarca,Tocancipá,14325,6.0176652145155485
Risaralda,Dosquebradas,42177,5.452413129533787
Antioquia,Guarné,36531,5.272144002053244
Antioquia,La Ceja,17351,5.12668330096251
Valle del Cauca,Cartago,32119,5.100832440869825
Antioquia,Envigado,38955,5.098838097258858
Valle del Cauca,Candelaria,38088,4.958300608085658
Cundinamarca,Zipaquirá,27012,4.885853820350631
Antioquia,El Carmen de Viboral,22238,4.785622467564234
Cundinamarca,Cota,21111,4.732359048829208
Cundinamarca,Mosquera,23392,4.717762631266222
Antioquia,Itagüí,32816,4.676176344563951
Cundinamarca,Cajicá,35046,4.563191218222085
Valle del Cauca,Guadalajara de Buga,24048,4.252475885697532
Cundinamarca,Tenjo,18175,3.9425328304312988
Cundinamarca,Girardot,24917,3.9055850065542583
Antioquia,Marinilla,23803,3.719443867135417
Cauca,Santander de Quilichao,30381,3.5905727511722274
Cundinamarca,Nemocón,6606,3.360253537957734
Cundinamarca,Cogua,14750,3.0228383583760574
Cundinamarca,Sopó,11911,3.021765857044024
Tolima,Espinal,19103,2.94829393193194
Antioquia,Girardota,22054,2.880771796136267
Risaralda,Santa Rosa de Cabal,26027,2.865124523246208
Antioquia,Copacabana,25834,2.7685548370697957
Cauca,Caloto,20700,2.650855303475183
Cundinamarca,Guasca,12166,2.640183524815387
Cauca,Piendamó,27056,2.600757332740026
Valle del Cauca,Dagua,24894,2.5128630812111403
Cauca,Cajibío,35199,2.4454552917448162
Valle del Cauca,El Cerrito,16406,2.418096256725634
Cundinamarca,La Calera,24723,2.4164144671736865
Chocó,Quibdó,26865,2.3605516332326166
Antioquia,Santa Rosa de Osos,19049,2.353258065490711
Antioquia,La Estrella,16241,2.340758307581424
Quindío,Calarcá,19660,2.2786807217360954
Cundinamarca,Tabio,15856,2.2536514472997267
Cundinamarca,Suesca,8390,2.223243796505678
Caldas,La Dorada,14400,2.1923662969385065
Cundinamarca,Sesquilé,7942,2.154474234974907
Antioquia,Retiro,17172,2.1197407985511236
Huila,Palermo,14666,2.0263331867768017
Antioquia,Barbosa,18264,2.0186919138303807
Cauca,El Tambo,29203,2.003310093312869
Tolima,Melgar,15941,1.955963773210332
Cundinamarca,Sibaté,12535,1.9335082040561045
Antioquia,Caldas,17058,1.9251873005067244
Cundinamarca,Fómeque,9046,1.9213578556715194
Cundinamarca,Gachancipá,5898,1.8665777136130846
Antioquia,San Vicente,11849,1.8541570722768212
Cundinamarca,Villa de San Diego de Ubaté,13354,1.775586005995423
Cauca,Morales,25233,1.7443351219027066
Tolima,Guamo,16844,1.7186620627141065
Boyacá,Puerto Boyacá,13991,1.714049371713881
Tolima,San Sebastian de Mariquita,13612,1.7013032541684572
Cundinamarca,Villeta,15026,1.6961833495270675
Tolima,Flandes,11851,1.6776652646491141
Boyacá,Chiquinquirá,13149,1.663280229733047
Cundinamarca,Guaduas,12568,1.6507299643550741
Antioquia,Chigorodó,14751,1.6361230936258992
Tolima,Chaparral,15474,1.606097323998871
Antioquia,Sabaneta,9905,1.5967139841620372
Huila,Rivera,12323,1.591224784147557
Antioquia,Santuario,11725,1.574004655953471
Cundinamarca,La Mesa,11937,1.555418983050152
Caldas,Villamaría,15619,1.5466626543164796
Valle del Cauca,Pradera,10983,1.5330242351722614
Caldas,Chinchiná,12485,1.5188618030539272
Valle del Cauca,Florida,11487,1.505114268963025
Valle del Cauca,San Pedro,8485,1.5018476353201677
Cundinamarca,Ricaurte,11750,1.494505941586068
Antioquia,Sonsón,10016,1.475529926192045
Antioquia,Peñol,14231,1.4473386096062386
Valle del Cauca,Zarzal,9171,1.4451335868845063
Antioquia,Yarumal,10963,1.4336312141728442
Quindío,Montenegro,11464,1.4265582666089442
Caldas,Riosucio,14154,1.4214085689382367
Cundinamarca,Pacho,15706,1.4030537473132638
Quindío,Circasia,11137,1.383215857198733
Cundinamarca,Silvania,13763,1.3648491865149888
Cundinamarca,Cáqueza,12084,1.3619383625248318
Antioquia,San Pedro de los Milagros,11430,1.3573968643354013
Valle del Cauca,La Unión,9232,1.3571936412785173
Tolima,Líbano,12415,1.3484694311230132
Quindío,Quimbaya,8926,1.314089485927654
Huila,Campoalegre,9676,1.3120777599036237
Valle del Cauca,Guacarí,8546,1.2613781876922139
Cundinamarca,Subachoque,11207,1.2524991250865838
Cundinamarca,Anapoima,10297,1.242860908062648
Cundinamarca,Bojacá,3922,1.2422892297467583
Antioquia,Amagá,10196,1.2408020882451924
Antioquia,San Jerónimo,12921,1.2152889779563765
Antioquia,Santafé de Antioquia,12429,1.2110615163476173
Cauca,Miranda,9579,1.2082419471297063
Cauca,Páez,16017,1.183510291542362
Cauca,Inzá,17340,1.1810907894339562
Valle del Cauca,La Cumbre,10973,1.164996740411917
Antioquia,Andes,13236,1.1555075935035777
Antioquia,Fredonia,9127,1.1496225469106736
Cauca,Caldonó,12933,1.1362301756675992
Antioquia,El Sopetrán,12677,1.13490272678713
Valle del Cauca,Ginebra,7278,1.1222446511527537
Antioquia,Don Matías,7893,1.1176271855447864
Tolima,Purificación,10474,1.1099847382865746
Tolima,Honda,7368,1.1053432365671174
Tolima,Coyaima,13955,1.0869137590782838
Valle del Cauca,Roldanillo,6609,1.084531475957915
Cundinamarca,Chocontá,8749,1.078713315010723
Valle del Cauca,Calima,9692,1.0733439651325862
Cundinamarca,La Vega,9520,1.0688372371972121
Caldas,Anserma,10246,1.0297802510655756
Caldas,Supía,10230,1.0048660729814416
Antioquia,Puerto Berrío,10161,1.001145839853301
Cauca,Villa Rica,7853,0.9951376254613781
Cundinamarca,San Francisco,10688,0.994277101851554
Cauca,Buenos Aires,11277,0.991812019610952
Antioquia,Cocorná,10941,0.9902453049687477
Tolima,San Luís,10838,0.987122038862947
Cauca,Puerto Tejada,6171,0.9749256186786214
Cundinamarca,Tocaíma,8958,0.9737037403451294
Valle del Cauca,Bugalagrande,8763,0.9664148339827758
Tolima,Fresno,8938,0.9602309205010727
Valle del Cauca,Andalucía,7246,0.9508945529704308
Cundinamarca,Ubaqué,7744,0.9436668637555403
Tolima,Carmen de Apicalá,8429,0.9418753335867209
Tolima,Ortega,10787,0.9366060411749664
Cundinamarca,San Antonio del Tequendama,8266,0.9365776763245225
Antioquia,San Carlos,10053,0.9315789830088039
Cundinamarca,Choachí,9348,0.9304700960346679
Antioquia,San Roque,10046,0.9042424560742759
Cundinamarca,Arbeláez,7755,0.9021569342485473
Valle del Cauca,Yotoco,5992,0.8966896700770316
Valle del Cauca,Restrepo,7498,0.8892232000851874
Cundinamarca,Chipaque,7279,0.8830458051642961
Antioquia,La Unión,5197,0.8737553622981886
Cundinamarca,Anolaima,5461,0.871961202167914
Cundinamarca,El Colegio,7796,0.8680715432977889
Antioquia,Urrao,8368,0.8672448962838455
Caldas,Palestina,8123,0.8647461340208139
Cauca,Suárez,12523,0.8580563520034531
Valle del Cauca,Ansermanuevo,6860,0.8534350069908996
Antioquia,Segovia,10039,0.8513044425445889
Antioquia,Remedios,10478,0.8482347021666363
Quindío,Filandia,5496,0.8447402257471739
Tolima,Lérida,6481,0.8328869574662346
Caldas,Neira,8395,0.8278022718977149
Cauca,Corinto,8879,0.82747906669878
Risaralda,Quinchía,10123,0.8237259536619995
Cundinamarca,Guachetá,8049,0.8040174341280204
Antioquia,Abejorral,6654,0.7997941649199058
Cauca,Silvia,7952,0.7906096043566071
Antioquia,Santa Bárbara,8187,0.7847959833515832
Antioquia,Santo Domingo,8087,0.7816191311514924
Cundinamarca,Nilo,5005,0.7804978183320656
Antioquia,Támesis,6121,0.7719233239853813
Antioquia,Entrerríos,6244,0.7705359882385469
Tolima,Natagaima,7274,0.7700457768057465
Antioquia,San Rafael,8783,0.7686215208454948
Antioquia,Puerto Triunfo,5669,0.7567050429745688
Antioquia,Yolombó,8115,0.7547997563111519
Cundinamarca,Sasaima,5161,0.7539890411385454
Antioquia,Concordia,7812,0.7532875179612976
Cundinamarca,Puerto Salgar,5453,0.7495999847228088
Tolima,Saldaña,6483,0.7436303242955086
Risaralda,Belén de Umbría,7919,0.7415381859260696
Caldas,Salamina,5753,0.7344821822806276
Cundinamarca,Simijaca,6958,0.7322206607536988
Risaralda,Marsella,7281,0.7293347321464464
Antioquia,Jericó,5646,0.7249818386694419
